route_is.ogg,سفر 
route_calculate.ogg,محاسبه مسیر
distance.ogg,مسافت
prepare.ogg,آماده 
after.ogg,بعد از 
left.ogg,سمت چپ 
left_sh.ogg,سریعا به چپ بپیچید 
left_sl.ogg,به آرامی به چپ بپیچید 
right.ogg,سمت راست 
right_sh.ogg,سریعا به راست بپیچید 
right_sl.ogg,به آرامی به راست بپیچید 
left_keep.ogg,ادامه حرکت از سمت چپ
right_keep.ogg,ادامه حرکت از سمت راست
make_uturn.ogg,حالا دور بزنید 
make_uturn_wp.ogg,در اولین زمان ممکن دور بزنید 
prepare_roundabout.ogg,به میدان نزدیک میشوید بعد از 
roundabout.ogg,وارد میدان شوید بعد از  
then.ogg,  سپس 
and.ogg,و 
take.ogg,وارد شوید به 
exit.ogg,خروج 
1st.ogg,اول 
2nd.ogg,دوم 
3rd.ogg,سوم 
4th.ogg,چهارم 
5th.ogg,پنجم 
6th.ogg,ششم 
7th.ogg,هفتم 
8th.ogg,هشتم 
9th.ogg,نهم 
10th.ogg,دهم 
11th.ogg,یازدهم 
12th.ogg,دوازدهم 
13th.ogg,سیزدهم 
14th.ogg,چهاردهم 
15th.ogg,پانزدهم 
16th.ogg,شانزدهم 
17th.ogg,هفدهم 
go_ahead.ogg,مستقیم حرکت کنید 
follow.ogg,این جاده را دنبال نمایید برای
and_arrive_destination.ogg,و شما به مقصد خود خواهید رسید 
reached_destination.ogg,به مقصد رسیدید 
and_arrive_intermediate.ogg,به ایستگاه بین راهی که مشخص کرده بودید خواهید رسید 
reached_intermediate.ogg,به ایستگاه بین راهی مشخص شده رسیدید 
and_arrive_waypoint.ogg,به ایستگاه جی پی ایکسی که تعیین کرده بودید خواهید رسید 
reached_waypoint.ogg,به ایستگاه بین راهی فایل جی پی ایکس رسیدید 
attention.ogg,توجه  
location_lost.ogg,قطع سیگنال جی پی اس 
location_recovered.ogg,اتصال به ماهواره جی پی اس 
off_route.ogg,از مسیر تعیین شده خارج شدید
exceed_limit.ogg,سرعت شما بیش از حد مجاز است
onto.ogg,روی 
on.ogg,در 
to.ogg,به 
to2.ogg,سمت 
meters.ogg,متر 
around_1_kilometer.ogg,حدود یک کیلومتر 
around.ogg,بعد از 
kilometers.ogg,کیلومتر 
feet.ogg,فوت 
1_tenth_of_a_mile.ogg,یک دهم فوت
tenths_of_a_mile.ogg,ده مایل
around_1_mile.ogg,حدود یک مایل 
miles.ogg,مایل 
yards.ogg,یارد 
time.ogg,زمان 
1_hour.ogg,یک ساعت 
hours.ogg,ساعت 
less_a_minute.ogg,کمتر از یک دقیقه 
1_minute.ogg,یک دقیقه 
minutes.ogg,دقیقه
1.ogg,1
2.ogg,2
3.ogg,3
4.ogg,4
5.ogg,5
6.ogg,6
7.ogg,7
8.ogg,8
9.ogg,9
10.ogg,10
11.ogg,11
12.ogg,12
13.ogg,13
14.ogg,14
15.ogg,15
16.ogg,16
17.ogg,17
18.ogg,18
19.ogg,19
20.ogg,20
25.ogg,25
30.ogg,30
35.ogg,35
40.ogg,40
45.ogg,45
50.ogg,50
55.ogg,55
60.ogg,60
65.ogg,65
70.ogg,70
75.ogg,75
80.ogg,80
85.ogg,85
90.ogg,90
95.ogg,95
100.ogg,100
150.ogg,150
200.ogg,200
250.ogg,250
300.ogg,300
350.ogg,350
400.ogg,400
450.ogg,450
500.ogg,500
550.ogg,550
600.ogg,600
650.ogg,650
700.ogg,700
750.ogg,750
800.ogg,800
850.ogg,850
900.ogg,900
1000.ogg,1000
2000.ogg,2000
3000.ogg,3000
4000.ogg,4000
5000.ogg,5000
6000.ogg,6000
7000.ogg,7000
8000.ogg,8000
9000.ogg,9000
